Order Date,Sales,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_STD_3
2015-04-30,27906.855,55205.797,4519.892,14205.707,29210.847999999998,25368.10083008369
2015-05-31,23644.303,27906.855,55205.797,4519.892,35585.651666666665,17124.68728368542
2015-06-30,34322.9356,23644.303,27906.855,55205.797,28624.697866666666,5375.385784979868
2015-07-31,33781.543,34322.9356,23644.303,27906.855,30582.927199999995,6015.118937182598
2015-08-31,27117.5365,33781.543,34322.9356,23644.303,31740.671699999995,4012.893070459611
2015-09-30,81623.5268,27117.5365,33781.543,34322.9356,47507.53543333333,29732.606610518804
2015-10-31,31453.393,81623.5268,27117.5365,33781.543,46731.48543333333,30295.062732185117
2015-11-30,77907.66070000001,31453.393,81623.5268,27117.5365,63661.52683333334,27954.871292633703
2015-12-31,68167.0585,77907.66070000001,31453.393,81623.5268,59176.0374,24497.52216452308
2016-01-31,18066.9576,68167.0585,77907.66070000001,31453.393,54713.89226666666,32108.693498052242
2016-02-29,11951.411,18066.9576,68167.0585,77907.66070000001,32728.4757,30842.662672158087
2016-03-31,32339.3184,11951.411,18066.9576,68167.0585,20785.895666666667,10462.368765987916
2016-04-30,34154.4685,32339.3184,11951.411,18066.9576,26148.3993,12328.404197791953
2016-05-31,29959.5305,34154.4685,32339.3184,11951.411,32151.105800000005,2103.792811343168
2016-06-30,23599.374,29959.5305,34154.4685,32339.3184,29237.791,5314.431851607174
2016-07-31,28608.259000000002,23599.374,29959.5305,34154.4685,27389.054500000002,3350.782354277479
2016-08-31,36818.3422,28608.259000000002,23599.374,29959.5305,29675.32506666667,6673.773487400175
2016-09-30,63133.606,36818.3422,28608.259000000002,23599.374,42853.4024,18036.52849305596
2016-10-31,31011.7375,63133.606,36818.3422,28608.259000000002,43654.5619,17117.360597440933
2016-11-30,75249.3995,31011.7375,63133.606,36818.3422,56464.91433333334,22860.364634348298
2016-12-31,74543.6012,75249.3995,31011.7375,63133.606,60268.246066666674,25339.33716464679
2017-01-31,18542.490999999998,74543.6012,75249.3995,31011.7375,56111.83056666667,32537.916258062676
2017-02-28,22978.815000000002,18542.490999999998,74543.6012,75249.3995,38688.3024,31130.725685184487
2017-03-31,51165.059,22978.815000000002,18542.490999999998,74543.6012,30895.455,17693.582943990055
2017-04-30,38679.767,51165.059,22978.815000000002,18542.490999999998,37607.880333333334,14123.660767538879
2017-05-31,56656.908,38679.767,51165.059,22978.815000000002,48833.91133333333,9212.496226122628
2017-06-30,39724.486,56656.908,38679.767,51165.059,45020.386999999995,10091.051738288754
2017-07-31,38320.783,39724.486,56656.908,38679.767,44900.72566666667,10205.315419867522
2017-08-31,30542.2003,38320.783,39724.486,56656.908,36195.8231,4946.22923059191
2017-09-30,69193.3909,30542.2003,38320.783,39724.486,46018.791399999995,20443.168386877667
2017-10-31,59583.033,69193.3909,30542.2003,38320.783,53106.208066666666,20123.13543193922
2017-11-30,79066.4958,59583.033,69193.3909,30542.2003,69280.97323333334,9742.026671518563
2017-12-31,95739.121,79066.4958,59583.033,69193.3909,78129.54993333334,18096.244790943023
2018-01-31,43476.474,95739.121,79066.4958,59583.033,72760.69693333334,26695.84972185362
2018-02-28,19920.9974,43476.474,95739.121,79066.4958,53045.5308,38804.27943651883
2018-03-31,58863.4128,19920.9974,43476.474,95739.121,40753.628066666664,19613.4736030883
2018-04-30,35541.9101,58863.4128,19920.9974,43476.474,38108.77343333333,19597.691696359227
2018-05-31,43825.9822,35541.9101,58863.4128,19920.9974,46077.1017,11822.596005065332
2018-06-30,48190.7277,43825.9822,35541.9101,58863.4128,42519.54,6424.814400896953
2018-07-31,44825.104,48190.7277,43825.9822,35541.9101,45613.93796666667,2286.797999423576
2018-08-31,62837.848,44825.104,48190.7277,43825.9822,51951.22656666666,9577.095091781996
2018-09-30,86152.888,62837.848,44825.104,48190.7277,64605.280000000006,20720.504204618963
2018-10-31,77448.1312,86152.888,62837.848,44825.104,75479.62240000001,11781.512751856535
2018-11-30,117938.155,77448.1312,86152.888,62837.848,93846.39140000001,21313.211929587236
2018-12-31,83030.3888,117938.155,77448.1312,86152.888,92805.55833333333,21943.699810770227
